,Product,Brand,Price,Review
85,Kose Cosmeport Babyish Clear Turn Face Mask 7s [3 Types To Choose],KOSE COSMEPORT,RM 23.90,"defaultdict(<class 'list'>, {3: [""I would give 3 stars as the essence is not sticky after using, skin felt fresh after using. I love the eco-friendly packaging as it was 7s in one package. But, the material of the mask is rough, thick and can't fit the face properly.""], 1: ['The mask was so rough and never hydrate my skin. Its feel like u put a dampen paper on your face'], 5: ['The mask is very suitable for morning routine, wont make my face oily after that', 'I love this mask. It provide a good result. After using the mask, my face feel more moisture.', ""This sheet mask is quite moisturising. However, i have used mask sheet of the same brand bought in Watsons. Felt like the mask sheet's size from Hermo is a bit bigger than those bought in Watsons. Not sure what are the differences because the packaging looks the same."", 'Not really feel hydrate but non sticky']})"
86,Nutox Anti-Ageing Cream Mask 28ml [EXP OCT'20],NUTOX,RM 12.75,"defaultdict(<class 'list'>, {})"
87,[10+10] Yadah Mask Packs,YADAH,RM 138.00,"defaultdict(<class 'list'>, {5: ['Skin Hydrated without any sticky feeling', 'Great value to buy during sales. The essence more concentrated than other brand.', 'Bought during sales and i love how hydrating it is!'], 4: ['The texture of the masks are very good, it is kind of cotton alike texture, i like it alot. The masks are also very moisturising, definitely will buy again.', 'Very affordable, but did not do much for my skin. Use it as an everyday mask cause of the price'], 2: ['The essence is a little bit sticky and the effect is just so so.']})"
88,Mamonde Calming Hydro Sleeping Mask 100ml,MAMONDE,RM 80.00,"defaultdict(<class 'list'>, {2: ['Really love the calendula sense, not sticky and feel refreshing on the next day'], 4: ['this smells like perfume tbh. but after applying on the face it is not as overwhelming. the next day will wake up with supple skin. not as hydrating as laneige water sleeping mask. but still ok.', 'Can feel the effect the next day after apply. Very moisturizing!', 'A decent product. Looks pretty. Skin does feel slighty smoother and moisturized the next morning. However, do not apply a thick layer to avoid overwhelming fragrance.'], 5: ['Really love the effect the next morning. Just the expiry date is too near'], 1: [""Nothing special, tried for few weeks but didn't see any different on my face.""]})"
89,Pax Moly Real Mask Pack 1pcs [14 Types To Choose],PAX MOLY,RM 6.90,"defaultdict(<class 'list'>, {5: ['soothing my skin after wear it', ""Very moisturise. Doesn't cause any breakout."", ""It does brighten & cleared up  ma skin plus instant glow y'all and this is the reason why I freaking love sheet masks""], 4: ['Nice packaging. Decent mask. So far so good.'], 2: ['Received Pax Moly real red ginseng mask yesterday and use it at night. I very love this ginseng mask smell, it like ginseng candy make me feel wanna eat it.'], 3: ['the sheet and serum has a nice texture']})"
90,@Cosme Nippon Root Vegetable Face Mask 10pcs [#Burdock],@COSME NIPPON,RM 39.90,"defaultdict(<class 'list'>, {2: [""Doesn't do much for me, and the sheet is quite thick"", 'Gave me a tingly sensation when I first used it. Thought it might cause me breakout. However, it did not! Overall I like this mask. Did not feel sticky at all!'], 3: ['the size of the eyes area could be improve by make it bigger ...'], 5: ['Nice to use and not sticky... Worth to buy at discounted price']})"
91,JM Solution Japan Vitamin Ampoule Mask Clear 5pcs [#C9],JM SOLUTION,RM 45.00,"defaultdict(<class 'list'>, {4: ['Good product. Definitely will see result if continuing to used. Lots of essense & skin glowing & brightening'], 5: ['the mask is really make my skin moisture.', 'Love JM Solution masks. It has quick become one of my favorite mask brand. it is pack with essence. my skin is hydrated and brighten and plump'], 2: ['This mask is very moisturizing. Not sticky. Will purchase again.', 'Supple skin after use. I love the pleasant scent. Will repurchase it.', 'Feels very nice on the skin. Worth a try.']})"
92,Yadah Moisturizing Mask Pack 3pcs,YADAH,RM 20.70,"defaultdict(<class 'list'>, {2: ['my favourite sheet mask ever  !!', 'Love this. Value for money especially when bought during promotion', 'Good and affordable. Will definately repurchase it. Very soothing and moisturizing.'], 5: ['It really works on my skin! You guys should try it!'], 4: ['Yadah mask in on the thicker side. It was at a great price, a good mask!', 'Cheap during promotion... fits perfectly on the face and its very moisturizing.. will purchase again']})"
93,Holika Holika Pure Essence Mask 5pcs [#Lemon],HOLIKA HOLIKA,RM 29.50,"defaultdict(<class 'list'>, {})"
94,Love Series Beauty Love Deep Sea Caviar Aqua Moist Translucent Mask 8pcs/box,LOVE SERIES,RM 42.90,"defaultdict(<class 'list'>, {3: ['prefer the purple colour mask than this'], 4: ['Cheap during sale... non sticky n skin feel fresh', 'Mask with lot of essence..rehydrate my skin']})"
95,Love Series Beauty Love Red Ginseng Stemcells Whitening Mask 8pcs/box,LOVE SERIES,RM 42.90,"defaultdict(<class 'list'>, {2: ['The smell is too strong for me. Not really like it'], 5: ['I really love this mask. The essence is more of the watery kind and the mask material is comfortable. It has a ginseng scent and it is hydrating. Will definitely repurchase during promotion.', 'smells nice and it wont dry out your skin']})"
