,Product,Brand,Price,Review
73,Mirae Aromatherapy Moisturizing Mask 1pcs,MIRAE,RM 9.80,"defaultdict(<class 'list'>, {5: ['Very nice mask. i like it so much. skin brighten right after used. will definitely repeat purchase.']})"
74,Yadah Pore Care Mask Pack 5pcs,YADAH,RM 34.50,"defaultdict(<class 'list'>, {2: ['A great mask to make my skin clean and hydrated', 'the product is okay but not fully best'], 4: ['Amazing sheet mask at a great price. The essence/serum contained is not too watery. Skin feels rejuvenated!', 'not bad but my skin feel itchy . maybe not suitable with my skin'], 5: ['the sheet is black in colour..not irritating on my skin', 'bought for my friend , does smooth the skin. gonna purchase for it in the future for me to try on']})"
75,Holika Holika Skin Rescuer Mask 5pcs [#Peptide],HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
76,Bellamonster Stress Out Solution Pad 1pcs,BELLAMONSTER,RM 6.00,"defaultdict(<class 'list'>, {})"
77,Senka Perfect Aqua Bouncy Moist Mask 7pcs,SENKA,RM 69.90,"defaultdict(<class 'list'>, {2: ['This is good to my skin, after apply, can see my face become brighter', 'This is super moisture! Definitely will purchase again next time!']})"
78,JM Solution MAMA Pureness Brightening Mask 10pcs,JM SOLUTION,RM 89.00,"defaultdict(<class 'list'>, {})"
79,Acelabs Peony Skin Shield Purifying Mask 10pcs [EXP NOV'20],ACELABS,RM 69.00,"defaultdict(<class 'list'>, {1: [""Normal mask for me, nothing special. Won't repurchase again"", 'My skin feel stingy but it does hydrate as well'], 2: ['Very moisturizing, lots of essence in a single sheet.', 'The smell is so comfort, and it was calming the redness, I love as the fragrance smell not strong. Will repurchase again.'], 5: ['The mash sheet is fit my face and a lot of essence . Feel comfortable after using the mask.', 'The mash sheet is fit my face and a lot of essence . Feel comfortable after using the mask.']})"
80,Holika Holika Skin Rescuer Mask 5pcs [#Collagen],HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
81,Neogen Canadian Clay Pore Cleanser Special Kit,NEOGEN,RM 79.00,"defaultdict(<class 'list'>, {5: ['Easy to wash, not drying but somehow I feel like it leaves a coating layer on my face even though I have washed thoroughy']})"
82,Senka Perfect Aqua Bouncy Bright Mask 7pcs,SENKA,RM 58.90,"defaultdict(<class 'list'>, {4: ['Moisturizing and comfortable on the skin. Brightening effect is not visible.', 'It is a good moisturizer mask. the essence is too thick and need to wash it off afterwards.'], 5: ['very moisturizing \nwill repurchase', 'first time trying this senka mask. hopefully it brightens my skin and clears up acne']})"
83,Tony Moly Master Lab Mask Sheet 1pc [7 Types To Choose],TONY MOLY,RM 9.30,"defaultdict(<class 'list'>, {5: [""It's really moisturising and have a lot of serum inside. And it smell nice too.""], 4: ['Love the thinness and sheer weight of the mask. It feels like a second layer of skin.', 'Thin and fit to my face\nGood to use\nHighly recomended it', 'Not bad, will buy again next time', 'Quite moisturizing!! Worth a tryyy!'], 3: [""i've tried it only once..so nothing much for the result..just my skin looks brighter..""]})"
84,Naruko Tea Tree Shine Control & Blemish Clear Night Gelly 茶树痘痘粉刺调理晚安冻膜 (药) 80g,NARUKO,RM 49.00,"defaultdict(<class 'list'>, {5: ['It is nice and will not irritates my skin at all.', 'Use this product ever night. Will repurchase it because it work well and help me calming my face.', 'I can see some difference after a few use. Moisturizing and not drying.'], 4: [""Wore this at night. I will put it a lot on my face but my face doesn't feel sticky or heavy. Instead, feel fresh due the tea tree and less oily at the end of the day. Right now i am on a journey of fragrance free so I would not repurchased this jelly but still gonna give high rate due to my great experience with it.""], 2: ['Not really suit me, cause me have a terrible breakout', 'not suitable for oily skin, abit sticky']})"
85,Holika Holika Skin Rescuer Mask 5pcs [#Vita C],HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
86,Holika Holika Skin Rescuer Mask 5pcs [#Madecassoside],HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
87,JM Solution MAMA Pureness Firming Up Mask 10pcs,JM SOLUTION,RM 89.00,"defaultdict(<class 'list'>, {5: ['Very mosturizing and suitable for dry skin']})"
88,Mamonde Enriched Nutri Sleeping Mask 100ml [EXP AUG'20],MAMONDE,RM 68.00,"defaultdict(<class 'list'>, {3: ['Smells good, thick texture with beads that will dissolve once applied onto face. Moisturising as I apply and leave overnight before washing it off. Not something to die for but worth a try.'], 5: [""Very strong fragrant. I can't stand the smell"", 'This is quite moisturising however it could be a little too oily and would only suits you if you are having really dry skin', ""Super love this. It does leave an oily cast(i mean thats its purpose for leave on mask haha) after last step of application but it works well keeping in the moisture of the products used before. I have combination skin but it doesnt cause extra oil. Just wash off next morning and you're good! Does it job for hydration very well esp when i see the results in the morning.""], 4: ['a very good sleeping mask it makes my skin feels moist after I wake up but I wish they could reduce the smell because somehow the smell is distracting even though the smell is good', 'The taxture is a little bit oily, but is good for super dry skin. After using it for 5 consecutive days, it mouisture my skin.']})"
89,Naruko Snail Essence Intense Hydra Repair Mask 蜗牛保湿修护面膜 (10pcs/box),NARUKO,RM 39.90,"defaultdict(<class 'list'>, {5: [""Use this alot. Not sticky and didn't cause me any breakout"", 'repurchased again! love this. make my skin so smooth', ""Very hydrating. And won't feel sticky after use"", 'this product very good especially for oily skin.'], 3: ['Feel a little bit sticky to me. Overall is good.', ""Bought this since so many rave about this mask. It is Fiddie's favorite. But i don't really like it. The fragrance is too strong and not hydrating either""]})"
90,Innisfree My Real Squeeze Mask 20ml [14 Types To Choose],INNISFREE,RM 5.00,"defaultdict(<class 'list'>, {3: ['So far so good for daily use ~~'], 5: [""Love the mask as it's thin and fitting, effects last longer"", 'Purchase many times, one of my favorable mask ever. Is very moisture and good to use', 'Manuka Honey mask is one of my favor mask. Feel soothing and comfortable while applying.', 'It made my skin hydrate. Love the products of innisfree.'], 4: ['Refreshing, would definitely try the other range!']})"
91,Holika Holika Skin Rescuer Mask 5pcs [#Hyluronic Acid],HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
92,@Cosme Nippon Root Vegetable Face Mask 10pcs [#Ginger],@COSME NIPPON,RM 39.90,"defaultdict(<class 'list'>, {2: [""Doesn't do much for me, and the sheet is quite thick""], 3: ['Doesnt feel sticky. a very refreshing feeling.']})"
93,Nutox Anti-Ageing Cream Mask 28ml [EXP OCT'20],NUTOX,RM 12.75,"defaultdict(<class 'list'>, {})"
94,[10+10] Yadah Mask Packs,YADAH,RM 138.00,"defaultdict(<class 'list'>, {5: ['Skin Hydrated without any sticky feeling', 'Great value to buy during sales. The essence more concentrated than other brand.', 'Bought during sales and i love how hydrating it is!'], 4: ['The texture of the masks are very good, it is kind of cotton alike texture, i like it alot. The masks are also very moisturising, definitely will buy again.', 'Very affordable, but did not do much for my skin. Use it as an everyday mask cause of the price'], 2: ['The essence is a little bit sticky and the effect is just so so.']})"
95,Kose Cosmeport Babyish Clear Turn Face Mask 7s [3 Types To Choose],KOSE COSMEPORT,RM 19.12,"defaultdict(<class 'list'>, {3: [""I would give 3 stars as the essence is not sticky after using, skin felt fresh after using. I love the eco-friendly packaging as it was 7s in one package. But, the material of the mask is rough, thick and can't fit the face properly.""], 1: ['The mask was so rough and never hydrate my skin. Its feel like u put a dampen paper on your face'], 5: ['The mask is very suitable for morning routine, wont make my face oily after that', 'I love this mask. It provide a good result. After using the mask, my face feel more moisture.', ""This sheet mask is quite moisturising. However, i have used mask sheet of the same brand bought in Watsons. Felt like the mask sheet's size from Hermo is a bit bigger than those bought in Watsons. Not sure what are the differences because the packaging looks the same."", 'Not really feel hydrate but non sticky']})"
